Year,AnnÈe,ISO,Jurisdiction,Juridiction,Cause,Origine,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de donnÈes
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,216865.2,a,216865.2,a
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,1258.31,a,1258.31,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,68.68,a,68.68,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,53312.35,a,53312.35,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,16,a,16,a
2007,2007,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,22183.3,a,22183.3,a
2007,2007,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,422923.87,a,422923.87,a
2007,2007,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,22.21,a,22.21,a
2008,2008,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,19.78,a,19.78,a
2008,2008,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,308546.47,a,308546.47,a
2008,2008,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,222.5,a,222.5,a
2009,2009,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,22.6,a,22.6,a
2009,2009,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,2034.15,a,2034.15,a
2009,2009,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,0.1,a,0.1,a
2010,2010,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,152.56,a,152.56,a
2010,2010,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,350649.38,a,350649.38,a
2010,2010,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,125.05,a,125.05,a
2011,2011,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,151.17,a,151.17,a
2011,2011,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,329358.2675,a,329358.2675,a
2011,2011,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,71.3871,a,71.3871,a
2012,2012,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,597.3,a,597.3,a
2012,2012,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,296543.84,a,296543.84,a
2012,2012,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,2615.22,a,2615.22,a
2013,2013,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,1188.4,a,1188.4,a
2013,2013,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,536684.32,a,536684.32,a
2014,2014,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,10616.38,a,10616.38,a
2014,2014,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,3407674.14,a,3407674.14,a
2015,2015,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,4.05,a,4.05,a
2015,2015,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,646983.59,a,646983.59,a
2016,2016,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,7819.08,a,7819.08,a
2016,2016,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,247180.28,a,247180.28,a
2017,2017,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,11.14,a,11.14,a
2017,2017,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,1030247.67,a,1030247.67,a
2018,2018,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,0.23,a,0.23,a
2018,2018,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,15737.41,a,15737.41,a
2019,2019,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,4.54,a,4.54,a
2019,2019,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,105162.63,a,105162.63,a
1990,1990,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,8672.000002,a,8672.000002,a
1990,1990,ON,Ontario,Ontario,Lightning,Foudre,174915.7,a,174915.7,a
1990,1990,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,25.50000011,a,25.50000011,a
1991,1991,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,11090.2,a,11090.2,a
1991,1991,ON,Ontario,Ontario,Lightning,Foudre,307671.5,a,307671.5,a
1991,1991,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,49.40000014,a,49.40000014,a
1992,1992,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,5372.600002,a,5372.600002,a
1992,1992,ON,Ontario,Ontario,Lightning,Foudre,170595.9,a,170595.9,a
1992,1992,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,25.90000004,a,25.90000004,a
1993,1993,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,9016.000001,a,9016.000001,a
1993,1993,ON,Ontario,Ontario,Lightning,Foudre,95608.6,a,95608.6,a
1993,1993,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,40.20000002,a,40.20000002,a
1994,1994,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,7455.000002,a,7455.000002,a
1994,1994,ON,Ontario,Ontario,Lightning,Foudre,76020.3,a,76020.3,a
1994,1994,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,129.1000001,a,129.1000001,a
1995,1995,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,41933.5,a,41933.5,a
1995,1995,ON,Ontario,Ontario,Lightning,Foudre,570412.5,a,570412.5,a
1995,1995,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,216.9000002,a,216.9000002,a
1996,1996,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1849.800002,a,1849.800002,a
1996,1996,ON,Ontario,Ontario,Lightning,Foudre,443461.2,a,443461.2,a
1996,1996,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,3691.1,a,3691.1,a
1997,1997,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,2113.300002,a,2113.300002,a
1997,1997,ON,Ontario,Ontario,Lightning,Foudre,36224.3,a,36224.3,a
1997,1997,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,281.9000002,a,281.9000002,a
1998,1998,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,4137.500002,a,4137.500002,a
1998,1998,ON,Ontario,Ontario,Lightning,Foudre,127542.1,a,127542.1,a
1998,1998,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,26492.8,a,26492.8,a
1999,1999,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,251129.6,a,251129.6,a
1999,1999,ON,Ontario,Ontario,Lightning,Foudre,76924.8,a,76924.8,a
1999,1999,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,272.4000002,a,272.4000002,a
2000,2000,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1420.500003,a,1420.500003,a
2000,2000,ON,Ontario,Ontario,Lightning,Foudre,5293.200001,a,5293.200001,a
2000,2000,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,64.70000003,a,64.70000003,a
2001,2001,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1520.1,a,1520.1,a
2001,2001,ON,Ontario,Ontario,Lightning,Foudre,9235.400001,a,9235.400001,a
2001,2001,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,89.70000001,a,89.70000001,a
2002,2002,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,2326.700001,a,2326.700001,a
2002,2002,ON,Ontario,Ontario,Lightning,Foudre,178041.9,a,178041.9,a
2002,2002,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,1851.1,a,1851.1,a
2003,2003,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,8393.500002,a,8393.500002,a
2003,2003,ON,Ontario,Ontario,Lightning,Foudre,309983.4,a,309983.4,a
2003,2003,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,734.0999998,a,734.0999998,a
2004,2004,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1487.799999,a,1487.799999,a
2004,2004,ON,Ontario,Ontario,Lightning,Foudre,120.2000005,a,120.2000005,a
2004,2004,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,9.599999987,a,9.599999987,a
2005,2005,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,3167.800005,a,3167.800005,a
2005,2005,ON,Ontario,Ontario,Lightning,Foudre,39126.8,a,39126.8,a
2005,2005,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,44.00000006,a,44.00000006,a
2006,2006,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1762.999998,a,1762.999998,a
2006,2006,ON,Ontario,Ontario,Lightning,Foudre,145286.1,a,145286.1,a
2006,2006,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,2572.5,a,2572.5,a
2007,2007,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,33191.3,a,33191.3,a
2007,2007,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,25,a,25,a
2007,2007,ON,Ontario,Ontario,Lightning,Foudre,6747.100001,a,6747.100001,a
2007,2007,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,713.4,a,713.4,a
2008,2008,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,106.0000003,a,106.0000003,a
2008,2008,ON,Ontario,Ontario,Lightning,Foudre,1193.7,a,1193.7,a
2008,2008,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,16.70000026,a,16.70000026,a
2009,2009,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,375.4000003,a,375.4000003,a
2009,2009,ON,Ontario,Ontario,Lightning,Foudre,20308.1,a,20308.1,a
2009,2009,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,7.100000024,a,7.100000024,a
2010,2010,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,2609.4,a,2609.4,a
2010,2010,ON,Ontario,Ontario,Lightning,Foudre,10108.9,a,10108.9,a
2010,2010,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,2105.9,a,2105.9,a
2011,2011,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1850.500001,a,1850.500001,a
2011,2011,ON,Ontario,Ontario,Lightning,Foudre,632086.6,a,632086.6,a
2011,2011,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,1437.6,a,1437.6,a
2012,2012,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,43438.7,a,43438.7,a
2012,2012,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1207,a,1207,a
2012,2012,ON,Ontario,Ontario,Lightning,Foudre,107873.5,a,107873.5,a
2012,2012,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,236.1999998,a,236.1999998,a
2013,2013,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,823.7000012,a,823.7000012,a
2013,2013,ON,Ontario,Ontario,Lightning,Foudre,50216.4,a,50216.4,a
2013,2013,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,49.89999852,a,49.89999852,a
2014,2014,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,241.9000009,a,241.9000009,a
2014,2014,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,759,a,759,a
2014,2014,ON,Ontario,Ontario,Lightning,Foudre,5143.7,a,5143.7,a
2014,2014,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,0.900000013,a,0.900000013,a
2015,2015,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1243.400002,a,1243.400002,a
2015,2015,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,3411,a,3411,a
2015,2015,ON,Ontario,Ontario,Lightning,Foudre,38063.8,a,38063.8,a
2015,2015,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,5.600000106,a,5.600000106,a
2016,2016,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,6114.800001,a,6114.800001,a
2016,2016,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,3096,a,3096,a
2016,2016,ON,Ontario,Ontario,Lightning,Foudre,76921.7,a,76921.7,a
2016,2016,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,76.29999999,a,76.29999999,a
2017,2017,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,87.40000091,a,87.40000091,a
2017,2017,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,445,a,445,a
2017,2017,ON,Ontario,Ontario,Lightning,Foudre,112233,a,112233,a
2017,2017,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,16.89999963,a,16.89999963,a
2018,2018,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,15994.1,a,15994.1,a
2018,2018,ON,Ontario,Ontario,Lightning,Foudre,249675.6,a,249675.6,a
2018,2018,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,20.29999956,a,20.29999956,a
2019,2019,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,16273.9,a,16273.9,a
2019,2019,ON,Ontario,Ontario,Lightning,Foudre,253445.7,a,253445.7,a
2019,2019,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,5.600000009,a,5.600000009,a
1990,1990,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,8.4,a,8.4,a
1990,1990,PC,Parks Canada,Parcs Canada,Lightning,Foudre,24591.9,a,24591.9,a
1990,1990,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,200,a,200,a
1991,1991,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,200.5,a,200.5,a
1991,1991,PC,Parks Canada,Parcs Canada,Lightning,Foudre,829.2,a,829.2,a
1992,1992,PC,Parks Canada,Parcs Canada,Lightning,Foudre,13.3,a,13.3,a
1993,1993,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,351.1,a,351.1,a
1993,1993,PC,Parks Canada,Parcs Canada,Lightning,Foudre,1277.7,a,1277.7,a
1993,1993,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,3,a,3,a
1994,1994,PC,Parks Canada,Parcs Canada,Lightning,Foudre,67140.9,a,67140.9,a
1994,1994,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,3.6,a,3.6,a
1995,1995,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,0.4,a,0.4,a
1995,1995,PC,Parks Canada,Parcs Canada,Lightning,Foudre,4025.6,a,4025.6,a
1995,1995,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,378.8,a,378.8,a
1996,1996,PC,Parks Canada,Parcs Canada,Lightning,Foudre,13635.7,a,13635.7,a
1997,1997,PC,Parks Canada,Parcs Canada,Lightning,Foudre,199,a,199,a
1998,1998,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,200.2,a,200.2,a
1998,1998,PC,Parks Canada,Parcs Canada,Lightning,Foudre,27808,a,27808,a
1999,1999,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,2475.3,a,2475.3,a
1999,1999,PC,Parks Canada,Parcs Canada,Lightning,Foudre,67015.2,a,67015.2,a
2000,2000,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,5570.4,a,5570.4,a
2000,2000,PC,Parks Canada,Parcs Canada,Lightning,Foudre,7437.02,a,7437.02,a
2001,2001,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,3815.132,a,3815.132,a
2001,2001,PC,Parks Canada,Parcs Canada,Lightning,Foudre,21175.611,a,21175.611,a
2001,2001,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2.302,a,2.302,a
2002,2002,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,2128.31,a,2128.31,a
2002,2002,PC,Parks Canada,Parcs Canada,Lightning,Foudre,6753.71,a,6753.71,a
2002,2002,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2.2,a,2.2,a
2003,2003,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,39483.851,a,39483.851,a
2003,2003,PC,Parks Canada,Parcs Canada,Lightning,Foudre,112464.6,a,112464.6,a
2004,2004,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,3260.0126,a,3260.0126,a
2004,2004,PC,Parks Canada,Parcs Canada,Lightning,Foudre,195464.62,a,195464.62,a
2004,2004,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,5.11,a,5.11,a
2005,2005,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,6244.811,a,6244.811,a
2005,2005,PC,Parks Canada,Parcs Canada,Lightning,Foudre,31070.51,a,31070.51,a
2005,2005,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,0.7,a,0.7,a
2006,2006,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,5711.59,a,5711.59,a
2006,2006,PC,Parks Canada,Parcs Canada,Lightning,Foudre,20320.38,a,20320.38,a
2006,2006,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,6804.1,a,6804.1,a
2007,2007,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,2241.97,a,2241.97,a
2007,2007,PC,Parks Canada,Parcs Canada,Lightning,Foudre,222118.51,a,222118.51,a
2007,2007,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,3.1,a,3.1,a
2008,2008,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,8576.212,a,8576.212,a
2008,2008,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,9255,a,9255,a
2008,2008,PC,Parks Canada,Parcs Canada,Lightning,Foudre,4487.8,a,4487.8,a
2008,2008,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,19.711,a,19.711,a
2009,2009,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,19453.456,a,19453.456,a
2009,2009,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,6264.22,a,6264.22,a
2009,2009,PC,Parks Canada,Parcs Canada,Lightning,Foudre,17133.82,a,17133.82,a
2009,2009,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,10.082,a,10.082,a
2010,2010,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,30.5,a,30.5,a
2010,2010,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,2110.5,a,2110.5,a
2010,2010,PC,Parks Canada,Parcs Canada,Lightning,Foudre,5837.2414,a,5837.2414,a
2010,2010,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,5.1,a,5.1,a
2011,2011,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,14849.933,a,14849.933,a
2011,2011,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,4816.2,a,4816.2,a
2011,2011,PC,Parks Canada,Parcs Canada,Lightning,Foudre,23511.41,a,23511.41,a
2011,2011,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,46798.25,a,46798.25,a
2012,2012,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,262.6071,a,262.6071,a
2012,2012,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,1420.3,a,1420.3,a
2012,2012,PC,Parks Canada,Parcs Canada,Lightning,Foudre,272200.609,a,272200.609,a
2012,2012,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,620,a,620,a
2013,2013,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,5015.8612,a,5015.8612,a
2013,2013,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,1121.16,a,1121.16,a
2013,2013,PC,Parks Canada,Parcs Canada,Lightning,Foudre,48981.54,a,48981.54,a
2013,2013,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,4725.21,a,4725.21,a
2014,2014,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,0.3431,a,0.3431,a
2014,2014,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,3139.36,a,3139.36,a
2014,2014,PC,Parks Canada,Parcs Canada,Lightning,Foudre,267177.55,a,267177.55,a
2014,2014,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,0.45,a,0.45,a
2015,2015,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,8.3102,a,8.3102,a
2015,2015,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,6694.1,a,6694.1,a
2015,2015,PC,Parks Canada,Parcs Canada,Lightning,Foudre,457818.6,a,457818.6,a
2015,2015,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,508.61,a,508.61,a
2016,2016,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,1.5453,a,1.5453,a
2016,2016,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,3383.1538,a,3383.1538,a
2016,2016,PC,Parks Canada,Parcs Canada,Lightning,Foudre,7794.2901,a,7794.2901,a
2016,2016,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,0.5111,a,0.5111,a
2017,2017,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,3.86461,a,3.86461,a
2017,2017,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,1744.556,a,1744.556,a
2017,2017,PC,Parks Canada,Parcs Canada,Lightning,Foudre,92143.0224,a,92143.0224,a
2017,2017,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,25428.4701,a,25428.4701,a
2018,2018,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,193.5642,a,193.5642,a
2018,2018,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,37075.797,a,37075.797,a
2018,2018,PC,Parks Canada,Parcs Canada,Lightning,Foudre,25696.132,a,25696.132,a
2018,2018,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,12594.732,a,12594.732,a
2018,2018,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2,a,2,a
2019,2019,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,4.34321,a,4.34321,a
2019,2019,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,308.15,a,308.15,a
2019,2019,PC,Parks Canada,Parcs Canada,Lightning,Foudre,36405.98,a,36405.98,a
2019,2019,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,0.3,a,0.3,a
2019,2019,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,81377.42,a,81377.42,a
2018,2018,PE,Prince Edward Island,Ile-du-Prince-Edouard,Human activity,ActivitÈs humaines,7.39015146,a,7.39015146,a
2019,2019,PE,Prince Edward Island,Ile-du-Prince-Edouard,Human activity,ActivitÈs humaines,14.21112824,a,14.21112824,a
1990,1990,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,18666.5,a,18666.5,a
1990,1990,QC,Quebec,QuÈbec,Lightning,Foudre,64676.1,a,64676.1,a
1991,1991,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,42503.1,a,42503.1,a
1991,1991,QC,Quebec,QuÈbec,Lightning,Foudre,395828.3,a,395828.3,a
1992,1992,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,8127.3,a,8127.3,a
1992,1992,QC,Quebec,QuÈbec,Lightning,Foudre,18984.2,a,18984.2,a
1993,1993,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,1062.2,a,1062.2,a
1993,1993,QC,Quebec,QuÈbec,Lightning,Foudre,127171.8,a,127171.8,a
1994,1994,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,792.9,a,792.9,a
1994,1994,QC,Quebec,QuÈbec,Lightning,Foudre,115247.4,a,115247.4,a
1995,1995,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,123078.5,a,123078.5,a
1995,1995,QC,Quebec,QuÈbec,Lightning,Foudre,604648.2,a,604648.2,a
1996,1996,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,9575.9,a,9575.9,a
1996,1996,QC,Quebec,QuÈbec,Lightning,Foudre,682013.7,a,682013.7,a
1997,1997,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,4713.7,a,4713.7,a
1997,1997,QC,Quebec,QuÈbec,Lightning,Foudre,388365.5,a,388365.5,a
1998,1998,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,13329.3,a,13329.3,a
1998,1998,QC,Quebec,QuÈbec,Lightning,Foudre,404977.5,a,404977.5,a
1999,1999,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,3927.8,a,3927.8,a
1999,1999,QC,Quebec,QuÈbec,Lightning,Foudre,93819.4,a,93819.4,a
2000,2000,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,672.4,a,672.4,a
2000,2000,QC,Quebec,QuÈbec,Lightning,Foudre,38535.9,a,38535.9,a
2001,2001,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,5877.3,a,5877.3,a
2001,2001,QC,Quebec,QuÈbec,Lightning,Foudre,27190.9,a,27190.9,a
2002,2002,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,5943.3,a,5943.3,a
2002,2002,QC,Quebec,QuÈbec,Lightning,Foudre,1007806.3,a,1007806.3,a
2003,2003,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,9398.1,a,9398.1,a
2003,2003,QC,Quebec,QuÈbec,Lightning,Foudre,78462.2,a,78462.2,a
2004,2004,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,802.1,a,802.1,a
2004,2004,QC,Quebec,QuÈbec,Lightning,Foudre,2242.1,a,2242.1,a
2005,2005,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,33359.6,a,33359.6,a
2005,2005,QC,Quebec,QuÈbec,Lightning,Foudre,766770.7,a,766770.7,a
2006,2006,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,65210.6,a,65210.6,a
2006,2006,QC,Quebec,QuÈbec,Lightning,Foudre,71140.5,a,71140.5,a
2007,2007,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,120725.3,a,120725.3,a
2007,2007,QC,Quebec,QuÈbec,Lightning,Foudre,221956.8,a,221956.8,a
2008,2008,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,148.2,a,148.2,a
2008,2008,QC,Quebec,QuÈbec,Lightning,Foudre,1333.4,a,1333.4,a
2009,2009,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,2246.3,a,2246.3,a
2009,2009,QC,Quebec,QuÈbec,Lightning,Foudre,91725.4,a,91725.4,a
2010,2010,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,36000.1,a,36000.1,a
2010,2010,QC,Quebec,QuÈbec,Lightning,Foudre,278883.7,a,278883.7,a
2011,2011,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,2272.7,a,2272.7,a
2011,2011,QC,Quebec,QuÈbec,Lightning,Foudre,10124.8,a,10124.8,a
2012,2012,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,24781.7,a,24781.7,a
2012,2012,QC,Quebec,QuÈbec,Lightning,Foudre,39261.4,a,39261.4,a
2013,2013,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,17130.7,a,17130.7,a
2013,2013,QC,Quebec,QuÈbec,Lightning,Foudre,1855711.5,a,1855711.5,a
2014,2014,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,8416.5,a,8416.5,a
